"BRCA" "COADREAD" "GBM" "GBMLGG" "HNSC" "KIPAN" "KIRC" "LGG" "LUAD" "LUSC" "OV" "STES" "THCA" "UCEC"
"FBN1" 0.06647 8.449e-07 0.282 0.4692 0.7895 0.1276 0.2372 0.9046 0.9778 0.4763 0.2703 0.893 0.003518 0.08267
"TEX15" 0.2395 8.868e-07 0.0526 0.0175 0.3737 0.7624 0.9212 0.3922 0.7723 0.01525 0.9262 0.5813 0.9362 0.02022
"ODZ3" 0.3153 9.085e-07 0.2373 0.005855 0.6978 0.0007075 0.005735 NA 0.8687 0.5279 1 0.1725 NA 0.002667
"GPR98" 0.8083 1.022e-06 0.1501 0.01241 0.4775 0.6089 0.9582 0.1056 0.02939 0.1712 0.9314 0.7025 0.04793 0.009043
"PLXNA4" 0.02997 1.086e-06 0.3396 0.05593 0.9237 0.6674 0.6501 0.6905 0.7483 0.3568 0.9109 0.2163 1 0.2009
"FAT4" 0.8395 1.108e-06 0.002164 0.003832 0.3149 0.8055 0.9948 0.03936 0.4103 0.4449 0.1631 0.2151 NA 0.000383
"VPS13B" 0.924 1.769e-06 0.1554 0.1737 0.0292 0.2165 0.2846 0.5589 0.6811 0.5799 0.3937 0.1344 1 0.002608
"RYR2" 0.709 2.197e-06 0.8816 0.01632 0.5547 0.1187 0.2869 0.06277 0.4124 0.048 0.1383 0.598 0.9362 0.002668
"CENPF" 0.8195 3.979e-06 0.8841 0.5659 0.0001001 0.9484 0.8238 0.843 0.9382 0.04252 0.9648 0.8264 0.8807 0.002423
"PKHD1" 0.07641 5.902e-06 0.5147 0.003575 0.2691 0.5391 0.1844 2.638e-06 0.4464 0.01808 0.06697 0.9099 0.5084 0.01001
"SACS" 0.7398 8.332e-06 0.8294 0.1191 0.7125 0.3704 0.4448 0.0003428 0.5385 0.5948 0.7522 0.5836 0.9072 0.000286
"APC" 0.7103 1.401e-05 0.9296 0.2679 0.3263 0.003174 0.143 0.002112 0.12 0.2 0.5272 0.563 0.6723 0.002842
"ADAMTS12" 0.07183 1.69e-05 0.1385 0.3173 0.5442 0.08707 0.08339 0.4971 0.5397 0.004596 0.1332 0.8732 NA 0.1131
"OBSCN" 0.09447 1.928e-05 0.9121 0.07337 0.1866 0.2987 0.5219 0.1712 0.3564 0.1341 0.8052 0.8427 0.1835 0.003395
"ABCA13" 0.6774 2.217e-05 0.6796 0.9869 0.8455 0.133 0.9533 0.6988 0.08105 0.005403 0.2225 0.4347 NA 0.0005552
"FAT2" 0.2577 4.406e-05 0.3501 0.8752 0.2282 0.5437 0.9636 0.3918 0.06608 0.3837 0.8577 0.7309 1 0.002276
"DST" 0.6539 5.179e-05 0.6899 0.4075 0.03807 0.3963 0.2709 0.5784 0.682 0.2466 0.4026 0.1669 0.9099 7.926e-05
"ODZ1" 0.2358 7.024e-05 0.33 0.7105 0.9418 0.1175 0.2623 NA 0.6068 0.001845 0.9828 0.05916 0.6104 0.04061
"XIRP2" 0.389 0.0001115 0.7122 0.1497 0.4677 0.7916 0.8563 0.5146 0.3308 0.1736 0.747 0.5684 1 0.003978
"TECTA" 0.7803 0.0001474 0.5258 0.7189 0.259 0.1988 0.7603 NA 0.6792 0.5931 0.7936 0.01444 0.9098 0.2576
"CMYA5" 0.1587 0.000157 0.5285 0.3528 0.4773 0.4405 0.1422 0 0.8705 0.9785 0.7389 0.959 NA 0.0085
"ABCA12" 0.9384 0.0001934 0.8631 0.7457 0.5808 0.4869 0.521 0.7213 0.2922 0.9292 0.7669 0.1998 1 0.006472
"AHNAK2" 0.5371 0.0002431 0.8732 0.009857 0.17 0.4627 0.8213 3.361e-06 0.01187 0.2258 0.2957 0.1059 0.8723 0.0118
"ATM" 0.3135 0.0003752 0.835 0.3098 0.5028 0.6141 0.5 NA 0.6774 0.1281 0.01121 0.01821 0.76 0.001757
"DNAH2" 0.2673 0.000478 0.203 0.0115 0.3404 0.02142 0.1631 0.7328 0.5818 0.6561 0.253 0.01521 0.4814 0.0003398
"DNAH11" 0.05405 0.0005833 0.9986 0.3001 0.05168 0.1058 0.5093 0.203 0.6731 0.7713 0.6504 0.4188 NA 0.009899
"LRP2" 0.2871 0.0006181 0.4824 0.9017 0.8331 0.4981 0.8259 0.1489 0.8377 0.2392 0.7243 0.05365 1 4.638e-05
"DNAH5" 0.1671 0.0007555 0.1651 0.04838 0.06757 0.8165 0.2284 0.9299 0.1171 0.3481 0.02222 0.4234 0.8894 0.002442
"KALRN" 0.2895 0.0007617 0.8934 0.6771 0.1991 0.2909 0.1932 0.7628 0.6248 0.1885 0.4581 0.6096 NA 0.0651
"CSMD2" 0.7489 0.001297 0.1886 0.1147 0.5761 0.05972 0.2143 0.05713 0.4581 0.3383 0.07342 0.2769 0.678 0.007445
"VCAN" 0.382 0.001517 0.7507 0.3117 0.3891 0.897 0.2524 0.8034 0.8956 0.1323 0.504 0.5248 1 0.002229
"DNAH8" 0.749 0.001647 0.02986 0.06615 0.4858 0.4226 0.7647 0.04944 0.7876 0.5572 0.276 0.1796 0.838 0.0006959
"FREM2" 0.9589 0.00174 0.5888 0.2204 0.8683 0.6712 0.5862 0.8315 0.7537 0.9846 0.1978 0.1343 NA 0.01684
"DCHS2" 0.8586 0.0019 0.07276 0.02042 0.5668 0.03896 0.5513 0.6624 0.5728 0.06071 0.8393 0.374 NA 0.001455
"RELN" 0.6887 0.002353 0.1657 0.01548 0.5733 4.642e-05 0.001027 0.6018 0.4888 0.0002307 0.6148 0.4285 0.9362 0.004048
"ANK2" 0.5707 0.00268 0.6299 0.07596 0.9814 0.4631 0.9004 0.843 0.4793 0.06952 0.7916 0.3742 0.9571 0.03437
"SYNE2" 0.6297 0.006069 0.3443 0.8336 0.6617 0.3721 0.3236 0.3779 0.9908 0.7583 0.8941 0.05897 0.6197 0.01674
"DYNC2H1" 0.1599 0.006468 0.7689 0.6316 0.3641 0.3105 0.6177 0.02151 0.55 0.5964 0.4828 0.7452 0.0001024 0.002305
"PKHD1L1" 0.5945 0.008661 0.748 0.5561 0.5144 0.03407 0.0271 0.9425 0.8594 0.1135 0.2865 0.4213 0.01027 0.005886
"GRIN2A" 0.09158 0.009948 0.9242 0.1943 0.8652 0.3304 0.4586 0.7147 0.9805 0.1475 0.1878 0.1485 1 0.1074
"TG" 0.7696 0.01208 0.5349 0.9795 0.8513 0.09276 0.2414 0.2822 0.88 0.01305 0.4205 0.5811 0.07979 0.003814
"RYR1" 0.8728 0.01388 0.3376 0.5845 0.8601 0.4645 0.5291 0.2204 0.632 0.6559 0.7077 0.339 0.5502 0.0007014
"DMD" 0.05602 0.01775 0.07792 0.0175 0.02597 0.5962 0.2883 0.08471 0.2994 0.1316 0.8927 0.2803 1 0.04148
"TNC" 0.741 0.02445 0.1042 0.4143 0.2213 0.2793 0.2928 0.7627 0.1739 0.5539 1 0.969 NA 0.02527
"KIAA1109" 0.5805 0.02556 0.5105 0.7823 0.2643 0.4126 0.2738 0.4551 0.07034 0.0836 0.954 0.7588 0.09825 0.02774
"TIAM1" 0.4198 0.0344 0.2268 0.5407 0.8681 0.118 0.5891 0.8173 0.7161 0.5782 1 0.3963 NA 0.02071
"CUBN" 0.9432 0.04274 0.08636 0.2988 0.3106 0.2831 0.6161 0.5346 0.3609 0.2212 0.0167 0.6798 NA 0.009643
"IDH1" 0.2501 0.8414 0.004823 0 0.4653 0.4452 0.3911 0.0426 0.9337 0.1229 NA 0.8069 NA 0.3476
"Unknown" NA 0.377 0.1174 2.776e-15 NA 0.1569 0.2043 NA 0.3762 0.1955 NA NA NA NA
"ATRX" 0.1196 0.5142 0.02794 1.309e-12 0.005286 0.7352 0.4392 0.327 0.6293 0.1708 0.2011 0.6755 1 0.004319
"EGFR" 0.4636 0.0002331 0.5956 3.454e-10 0.1321 0.008238 0.03301 0 0.003966 0.9666 0.4309 0.9858 NA 0.1543
"PTEN" 0.9934 0.7442 0.2956 2.102e-08 0.8507 0.5477 0.9928 1.088e-08 0.6712 0.04666 0.5185 0.3672 0.8896 0.006986
"CIC" 0.455 0.733 0.5091 1.265e-06 0.2715 0.2855 0.3447 0.4279 0.6143 0.7563 0.05976 0.5501 NA 0.1133
"NF1" 0.6442 3.217e-05 0.0922 0.002405 0.3003 0.8085 0.9968 3.517e-06 0.1987 0.11 0.09548 0.6468 0.7971 0.01037
"FAM135B" 0.1853 0.9334 0.8047 0.3258 0.00196 0.8876 0.2956 0.1237 0.367 0.399 0.2064 0.04451 0.8175 0.03729
"MUC5B" 0.9708 0.3605 0.1837 0.8124 0.004436 0.2325 0.5928 0.7626 0.1786 0.8136 0.6019 0.05917 0.5803 0.0004408
"CTNND2" 0.7586 0.9335 0.3068 0.06565 0.02587 0.2867 0.2066 NA 0.5085 0.2551 0.2853 0.9784 0.8583 0.2411
"C15orf2" NA 0.04829 0.02341 0.0001351 0.03118 NA NA NA 0.4157 0.1009 0.4775 0.1432 1 0.1384
"FRG1B" 0.1509 NA 0.3198 0.00123 NA 0.001358 0.5321 NA 0.548 NA NA 0.3063 NA 0.3464
"MUC6" 0.5999 2.887e-15 0.2677 0.5672 0.5047 0.003189 0.9924 0.7855 0.2722 0.3472 2.138e-06 0.6315 0.9571 0.42
"VHL" NA 0.9159 0.00259 0.003318 0.4896 0.007493 0.8267 0.936 NA 0.3905 NA 0.5201 NA 0.8513
"SETD2" 0.2756 0.4082 0.4107 0.7556 0.6637 0.01705 0.1393 0.7834 0.669 0.4878 0.7791 0.9877 1 0.01652
"MUC4" 0.9673 0.7408 0.608 0.1822 0.6092 0.02526 0.8276 0.8834 0.9676 0.5573 0.2352 0.2032 NA 0.02602
"ADAM6" 0.9517 0.04976 0.7633 0.1998 NA 0.03072 0.00742 NA 0.01479 0.2528 NA 0.105 NA NA
"BAP1" 0.431 0.8945 0.3728 0.5022 0.1375 0.002147 0.03722 NA 0.2629 0.8437 0.9212 0.4941 1 0.9512
"PRUNE2" 0.9231 0.2966 0.05608 0.1512 0.7117 0.634 0.5323 0.9063 0.0004687 0.5826 0.4065 0.2966 1 0.005401
"LAMA2" 0.03785 0.08243 0.007382 0.4161 0.5275 0.761 0.86 0.9766 0.008672 0.9064 0.4199 0.0564 0.807 0.02206
"NELL1" 0.2599 0.009961 0.4289 0.958 0.8153 0.4534 0.4786 0.1065 0.009711 0.2043 0.1012 0.6603 NA 0.196
"HCN1" 0.9482 0.3362 0.2536 0.03919 0.9574 0.2043 0.526 0.5911 0.01164 0.409 1 0.7866 1 0.1795
"ZNF208" 0.6772 0.0004507 0.05731 0.774 0.9256 0.2298 0.08798 0.7922 0.01595 0.2379 0.6198 0.0003183 NA 0.03956
"ANKRD30A" 0.7968 0.3955 0.6144 0.7649 0.263 0.6194 0.789 0.8083 0.02005 0.8258 0.6669 0.6971 0.633 0.02355
"PKD1L1" 0.6227 0.1766 0.1698 0.1431 0.6366 0.9599 0.6382 0.7244 0.02241 0.9339 0.5746 0.7458 0.6779 0.03518
"COL3A1" 0.6692 0.5004 0.7615 0.3475 0.7269 0.1358 0.1351 0.5324 0.03377 0.6101 0.8517 0.7678 0.9001 0.09817
"ASTN1" 0.2007 0.0001814 0.9406 0.2773 0.06603 0.3446 0.6726 0.0004026 0.03601 0.5548 0.3283 0.9756 0.7856 0.1082
"FAM47B" 0.2302 0.01785 0.6963 0.7209 0.3726 0.9458 0.526 0.009518 0.03904 0.3151 0.7284 0.3158 NA 0.2466
"ODZ2" 0.2034 7.867e-10 0.4097 0.02945 0.5185 0.05366 0.1738 NA 0.04158 0.0007693 0.7995 0.06186 0.3227 0.02663
"COL11A1" 0.01681 0.4003 0.9923 0.788 0.362 0.7141 0.8577 0.7488 0.3211 0.002939 0.001165 0.3785 1 0.4038
"CSMD3" 0.1208 0.5843 0.8741 0.5503 0.138 0.8792 0.4998 0.5595 0.7169 0.03882 0.4418 0.8283 0.8723 0.001932
"TSHZ2" 0.551 9.775e-05 0.1067 0.01931 0.8083 0.2641 0.1979 0.4913 0.6042 0.2657 0.3267 1.121e-08 1 0.1604
"DSEL" 0.8002 0.02606 0.3668 0.1344 0.3623 0.3067 0.5428 NA 0.9288 0.0001244 0.3405 0.001386 NA 0.01684
"COL1A2" 0.6581 0.5451 0.515 0.448 0.9694 0.1873 0.142 0.4611 0.06902 0.2824 0.2345 0.001657 0.9571 0.04437
"MTR" 0.4402 8.074e-05 NA NA 0.7365 NA NA NA 0.313 0.2328 1 0.00184 NA 0.5422
"RIMBP2" 0.9178 0.08508 0.6995 0.7302 0.5734 0.2248 0.3722 0.5048 0.8892 0.3703 0.1184 0.002335 NA 0.144
"ZFP64" 0.1389 0.7241 0.564 0.4596 0.7832 0.9472 0.002371 0.5745 0.7467 0.5185 0.6432 0.004525 NA 0.1902
"ATRNL1" 0.002895 7.55e-15 0.4187 0.04456 0.9272 0.8227 0.7842 NA 0.6665 0.03028 0.04023 0.005272 NA 0.162
"KCNA5" 0.923 0.7541 0.05588 0.005903 0.0726 NA NA NA 0.2298 0.3672 0.3324 0.006833 0.9098 0.1921
"TMEM132D" 0.6964 0.5347 0.01278 0.01815 0.9965 0.2012 0.6422 0.464 0.2937 0.7877 0.4273 0.007295 0.8896 0.09384
"WDFY3" 0.4991 0.0956 0.7654 0.5344 0.6193 0.4524 0.4377 0.01208 0.9717 0.5548 0.7978 0.0101 0.9072 0.01219
"EPHA3" 0.4656 0.009321 0.3414 0.2748 0.6121 0.9112 0.4456 0.5314 0.8525 0.2042 0.359 0.01013 NA 0.06898
"RANBP2" 0.7074 2.949e-07 0.5091 0.3794 0.7898 0.6923 0.3874 0.7578 0.1579 0.707 NA 0.01022 0.8874 0.06356
"TEP1" 0.8512 0.5991 0.6729 0.7665 0.7887 0.6733 0.6551 0.7525 0.3531 0.08587 0.6707 0.0135 0.02934 0.06403
"MLL2" 0.4919 0.7519 0.9804 0.217 0.3938 0.2284 0.1191 NA 0.5724 0.1683 0.2458 0.01375 0.6308 0.03295
"KCNQ3" 0.7285 5.577e-08 NA 0.7162 0.2872 0.7704 0.3772 0.8977 0.7266 0.3488 0.5732 0.0142 NA 0.09843
"VWF" 0.006731 0.2253 0.06772 0.02474 0.9733 0.3259 0.1551 0.5059 0.7948 0.2307 0.3318 0.01562 1 0.3783
"CHD3" 0.584 4.873e-06 0.4082 0.529 0.9388 0.7529 0.4764 NA 0.9821 0.7453 1 0.01592 0.002363 0.1083
"ASXL1" 0.2025 0.7416 0.3578 0.9528 0.1571 0.8255 0.2572 NA 0.1548 0.05315 1 0.01595 0.8175 0.06405
"ZFAT" 0.01326 0.004319 0.09906 0.1692 0.1403 0.5076 0.7046 0.6652 0.4857 0.7474 NA 0.01936 1 0.0564
"MBD6" 0.764 2.571e-06 0.5229 0.4392 0.1477 0.3652 0.3539 0.5457 1 0.3183 1 0.02082 0.9571 0.9598
"TUBGCP6" 0.4218 0.8292 0.0002471 1.077e-06 0.2045 0.9192 0.8205 NA 0.06255 0.8468 0.04166 0.02262 NA 0.2019
"B2M" 0.8054 0.7337 0.05184 0.005256 0.3897 0.8247 NA NA 1 0.001706 0.6262 0.02413 NA 0.5943
"STAG1" 0.298 0.002401 0.5498 0.2141 0.2483 0.5 0.5093 0.5146 0.7764 0.183 0.4687 0.02624 1 0.5535
"TRANK1" 0.2761 3.344e-12 5.582e-06 0.04399 0.0192 0.4569 0.7224 0.771 0.4016 0.3607 1 0.0269 0.7958 0.07552
"SPEF2" 0.1305 3.962e-05 0.4195 0.4704 0.09053 0.3902 0.5922 0.4651 0.07022 0.04333 0.691 0.02877 0.7907 0.05111
"THBS2" 0.7009 0.9413 NA NA 0.4099 1.257e-08 1.987e-09 NA 0.3333 0.9508 0.03958 0.03053 1 0.07933
"COL24A1" 0.4173 0.7774 0.3333 0.1432 0.2377 0.1105 0.246 0.7488 0.3357 0.3157 0.9314 0.03088 0.9099 0.0706
"WRN" 0.2854 4.867e-11 0.6142 0.3057 0.1195 0.1042 0.6494 0.948 0.4496 0.5699 0.04937 0.03465 1 0.1445
"ABCC8" 0.4359 0.5723 0.7598 0.8156 0.8679 0.3995 0.5917 NA 0.7568 0.04156 1 0.03514 1 0.1255
"PTPRJ" 0.07641 0.8209 0.7434 0.6291 0.9634 0.3956 0.2861 0.803 0.9295 0.375 1 0.03524 1 0.0801
"ZNF676" 0.5409 0.7748 0.3838 0.3001 0.2212 0.6367 0.01294 0.6462 0.3234 0.4995 NA 0.03533 NA 0.2074
"PTPRT" 0.6294 0.02418 0.3846 0.01577 0.7114 0.08282 0.0164 NA 0.2924 0.5524 0.1794 0.03608 0.807 0.1331
"KANK1" 0.6413 2.391e-06 0.3586 0.8874 0.3093 0.4005 0.3583 0.6523 0.9634 0.8131 0.6201 0.03809 NA 0.3689
"CREBBP" 0.2856 0.4015 0.179 0.06227 0.04529 0.6829 0.6451 0.1168 0.1969 0.9153 0.5929 0.0391 1 0.2461
"CASC3" 0.6925 0.8768 NA 0.6236 0.4341 0.2473 NA 0.01221 0.559 NA 1 0.04438 1 0.5226
"EP400" 0.3278 0.0001286 0.9801 0.7428 0.3494 0.3533 0.5807 0.5878 0.7496 0.2194 0.5457 0.04816 NA 0.01735
"LOC643677" NA NA NA NA NA NA NA NA NA NA NA NA NA 6.824e-05
"MACF1" 0.4971 0.9124 0.6452 0.1753 0.2773 0.1157 0.1791 0.002778 0.3193 0.107 0.5772 0.7562 1 9.64e-05
"DNAH7" 0.497 0.9388 0.4399 0.3053 0.1594 0.4773 0.2788 0.3331 0.5381 0.4598 0.5939 0.1284 1 0.000127
"GPR112" 0.4455 5.588e-07 0.6945 0.02241 0.009493 0.6658 0.8493 2.122e-08 0.1781 0.6076 0.5468 0.3351 0.9099 0.0001392
"HUWE1" 0.02099 0.06321 0.9874 0.07114 0.8739 0.2208 0.6515 9.955e-07 0.5741 0.06547 0.09153 0.9087 0.9362 0.0002437
"ARID1A" 0.2575 0.3597 0.2271 0.02302 0.6975 0.3903 0.3271 0.1867 0.7995 0.9401 0.5663 0.7007 NA 0.000416
"BIRC6" 0.4706 1.992e-05 0.000995 2.185e-06 0.0701 0.9052 0.5874 NA 0.08747 0.912 0.0945 0.3973 1 0.0004603
"ASPM" 0.2909 0.001825 0.02381 0.07448 0.748 0.0572 0.07028 0.4016 0.6952 0.3125 0.1027 0.6228 0.7393 0.0009266
"MLL3" 0.2123 6.691e-07 0.7103 0.03491 0.2302 0.9195 0.2694 NA 0.6845 0.5634 0.4275 0.9741 0.8894 0.001367
"ZFHX3" 0.1209 0.2945 0.1967 0.00254 0.7187 0.7698 0.7193 5.329e-15 0.1157 0.06306 0.05583 0.6036 0.0001364 0.001634
"NBEA" 0.7672 4.593e-09 0.005594 0.1037 0.801 0.8333 0.8126 0.5531 0.8614 0.8838 0.3534 0.6361 NA 0.001706
"HERC2" 0.1522 0.5478 0.2431 0.4999 0.0245 0.6736 0.5435 0.5691 0.4191 0.4412 0.264 0.1117 NA 0.001986
"MKI67" 0.1081 0.06789 0.4212 0.5898 0.2904 0.38 0.3457 0.9309 0.06447 0.0676 0.8003 0.4721 1 0.002332
"LRRK2" 0.01215 0.04388 0.6514 0.6541 0.2023 0.3209 0.807 NA 0.4221 0.5708 0.02282 0.9791 1 0.002839
"PCDH15" 0.01198 0.1544 0.0133 0.06803 0.5744 0.9934 0.7302 0.6462 0.7371 0.7333 0.0459 0.7023 1 0.003206
"VPS13C" 0.4998 0.9265 0.1011 0.1413 0.1011 0.7238 0.5412 0.7726 0.03964 0.3495 0.445 0.2042 0.9099 0.003209
"ZNF292" 0.9483 0.3897 0.7368 0.5165 0.611 0.5387 0.5388 0.8085 0.6945 0.1489 0.7925 0.2063 1 0.003303
"BAI3" 0.8824 0.2519 0.203 0.9716 0.1477 0.6268 0.9053 0.6748 0.08285 0.5036 0.4779 0.9202 0.6308 0.003495
"BRCA2" 0.8816 0.0002646 0.1842 0.2146 0.9738 0.6203 0.8163 0.5408 0.933 0.7177 0.03281 0.3013 0.7467 0.003706
"MUC17" 0.4555 0.004779 0.1187 0.0008328 0.4245 0.1331 0.5784 0.1943 0.5337 0.2208 0.3901 0.1843 0.6403 0.004309
"USP9X" 0.2295 2.678e-08 0.2202 0.703 0.5864 0.7261 0.5275 0.5668 0.9897 0.4481 1 0.4295 0.08485 0.004531
"ANK3" 0.0002547 0.02932 0.3163 0.9133 0.7069 0.4882 0.6955 0.5555 0.3972 0.403 0.06057 0.5257 0.8807 0.004547
"SI" 0.7815 0.003104 0.1631 0.4792 0.1968 0.05469 0.3028 0.09046 0.892 0.4142 0.626 0.4319 1 0.004689
"OTOGL" 0.1495 NA NA 0.3308 NA 0.5446 NA 0.6462 NA NA NA 0.9133 NA 0.004745
"UTRN" 0.05848 0.1947 0.1495 0.289 0.8312 0.833 0.8776 0.6696 0.3207 0.1206 0.931 0.2759 1 0.004792
"F5" 0.2815 0.112 0.05832 0.05848 0.7285 0.9397 0.5187 0.6398 0.476 0.8457 0.1582 0.7122 NA 0.004962
"PDE4DIP" 0.2566 0.5977 0.984 0.07762 0.07906 0.2943 0.3008 NA 0.7445 0.6463 0.5661 0.1907 0.8807 0.004985
"HERC1" 0.8199 2.391e-10 0.3351 0.8696 0.4534 0.01056 0.5138 0.357 0.1149 0.1852 0.7366 0.6147 1 0.005164
"ITPR1" 0.7042 5.44e-07 0.5166 0.1623 0.5553 0.1182 0.2911 0.09253 0.09881 0.151 0.2507 0.9051 0.9362 0.0052
"DNAH10" 0.6804 0.1065 0.978 0.7859 0.005425 0.05641 0.154 0.4232 0.8906 0.4224 0.3949 0.5991 0.9098 0.006117
"AHNAK" 0.5195 0.1311 0.2358 0.09419 0.2069 0.7625 0.177 0.3084 0.5945 0.07725 0.02272 0.6498 0.3497 0.00623
"MLL4" 0.4063 0.3723 0.9743 0.2241 0.001083 0.2271 0.5178 NA 0.6075 0.01582 0.9538 0.7658 NA 0.006699
"DMXL2" 0.5033 0.009061 NA 0.6176 0.02288 0.7123 0.8586 0.8613 0.8204 0.1743 0.6802 0.853 0.9072 0.006745
"LOC100287226" NA NA NA NA NA NA NA NA NA NA NA NA NA 0.006835
"RIMS1" 0.676 0.2168 0.1648 0.9738 0.4507 0.2956 0.5277 0.6693 0.3887 0.279 0.4991 0.7328 1 0.007013
"CHD7" 0.865 0.6714 0.8385 0.5328 0.9674 0.00236 0.00242 0.5745 0.1582 0.3499 0.2139 0.98 1 0.007267
"ANKRD30B" 0.5411 NA 0.8695 0.2271 0.6622 0.3768 0.361 0.004994 0.9365 NA 1 0.01796 1 0.007583
"MYO18B" 0.7639 0.01548 0.8204 0.6952 0.2208 0.5981 0.5 0.7604 0.5773 0.0634 0.09085 0.7062 0.0006393 0.007586
"UNC80" 0.377 5.134e-09 NA NA NA 0.2211 0.002714 NA 0.6579 0.4157 1 0.3098 1 0.007717
"FBN2" 0.09105 0.2635 0.4002 0.5311 0.5975 0.7353 0.5072 0.00968 0.6129 0.1285 0.6865 0.2714 0.9001 0.007822
"TAF1" 0.2617 0.005515 0.2269 0.08218 0.009361 0.8842 0.8107 0.6823 0.9204 0.8498 0.6295 0.144 1 0.007842
"LYST" 0.03918 0.02536 0.9097 0.02471 0.6496 0.267 0.3739 0 0.1361 0.358 0.5894 0.0614 1 0.007978
