"gen" "BRCA" "COADREAD" "GBM" "GBMLGG" "HNSC" "KIPAN" "KIRC" "LGG" "LUAD" "LUSC" "OV" "STES" "THCA" "UCEC"
"17" "APC" 0.925199 0.479898 0.837879 0.295472 0.833922 6.6e-05 0.064201 0.023809 0.007819 0.118251 0.124251 0.188879 0.809488 0.011762
"18" "APOB" 0.55354 0.004588 0.583805 0.778241 0.078376 0.74322 0.813019 0.663362 0.766959 0.006087 0.324461 0.110395 0.702177 0.027841
"19" "ARAP2" 0.179058 0.502308 0.235851 0.093812 0.424382 0.402345 0.763336 NA 0.276852 0.646861 0.424923 0.342094 0.864777 0.049074
"20" "ARFGEF1" 0.796444 0.089426 0.525356 0.686318 0.897116 0.635869 0.387832 NA 0.640415 0.667703 0.185725 0.031599 NA 0.065531
"21" "ARID1A" 0.230413 0.158076 0.127433 0.07051 0.810403 0.981709 0.973177 0.297872 0.985874 0.875923 0.016589 0.009678 NA 0.002744
"22" "ASH1L" 0.859152 0.837044 0.572508 0.586942 0.182533 0.090232 0.116265 NA 0.022335 0.323079 0.000964 0.090806 0.803116 0.026342
"23" "ASPM" 0.585847 0.084835 0.031319 0.037499 0.022546 0.089017 0.156626 0.379328 0.456059 0.591036 0.622064 0.034173 0.809488 0.014915
"24" "ASXL3" 0.981727 0.895519 0.260334 0.09868 0.955788 0.022219 0.068569 0.496694 0.957591 0.640662 0.95213 0.862257 NA 0.039968
"25" "ATM" 0.301483 0.745861 0.624025 0.943889 0.673378 0.653801 0.254908 NA 0.39812 0.78083 0.869663 0.000935 0.675304 0.013971
"26" "ATRNL1" 0.005717 0.010936 0.847332 0.312391 0.444863 0.842587 0.896911 NA 0.796238 0.789552 0.132801 0.001585 NA 0.374006
"27" "ATRX" 0.069265 0.206973 0.190067 0 0.108769 0.208666 0.775261 0.803742 0.79788 0.126211 0.500083 0.074025 0.864777 0.011708
"28" "B2M" 0.557209 0.811685 0.001611 2.5e-05 0.829314 0.764169 NA NA 0.9644 0.003321 0.096729 0.003303 NA 0.601166
"29" "BAI3" 0.924396 0.91799 0.119511 0.768725 0.342526 0.869228 0.759268 0.631223 0.378204 0.536422 0.937395 0.519456 0.809488 0.024963
"30" "BAP1" 0.336212 0.686336 0.296786 0.352079 0.250786 0.000185 0.007535 NA 0.177351 0.634798 0.618389 0.364548 0.864777 0.471771
"31" "BCORL1" 0.166556 0.36408 0.104038 0.443532 0.240688 0.461284 0.364829 0.631223 0.025616 0.415977 0.6201 0.045708 0.864777 0.430494
"32" "BIRC6" 0.75386 0.655521 0.654545 0.423416 0.044352 0.90432 0.371463 NA 0.001234 0.915483 0.001704 0.14181 0.864777 0.004349
"33" "BOD1L" NA 0.129858 0.500491 0.070172 0.135392 0.106936 0.417904 NA 0.006491 0.146874 0.119464 0.06772 NA 0.032738
"34" "BRCA2" 0.624542 0.427254 0.006386 0.097847 0.102413 0.670545 0.987891 0.560609 0.501401 0.196254 0.888409 0.272406 0.799971 0.013148
"35" "BZRAP1" 0.932038 0.22891 0.535931 0.358009 0.998493 0.061095 0.39454 0.461815 0.318767 0.024601 0.857917 0.000638 NA 0.202586
"36" "C15orf2" NA 0.556745 0.760823 0.19449 0.560895 NA NA NA 0.043199 0.79493 0.23299 0.01984 0.864777 0.301666
"37" "C1orf173" 0.551606 0.720131 0.402093 0.598246 0.984634 0.487079 0.123176 0.148938 0.105956 0.89353 0.354398 0.037805 0.864777 0.139103
"38" "CACNA1B" 0.20941 0.000763 0.350111 0.966226 0.733807 0.010029 0.443964 0.404545 0.472935 0.456108 0.91506 0.038365 0.732609 0.084401
"39" "CARD11" 0.776441 0.927472 0.137647 0.362637 0.044112 0.012574 0.290235 0.508411 0.90103 0.33366 0.149748 0.042029 NA 0.654705
"40" "CASC3" 0.557209 0.680529 NA 0.638116 0.767311 3.3e-05 NA 0.038022 0.352912 NA 0.297764 0.0015 0.809488 0.362321
"41" "CCDC88A" 0.681684 0.160681 0.524162 0.310064 0.274964 0.852407 0.314018 0.496694 0.299423 0.300254 0.974345 0.095642 0.864777 0.04921
"42" "CCNB3" 0.73624 0.675108 0.626462 0.220375 0.636909 0.850519 0.830124 0.725267 0.523234 0.924735 0.194915 0.066679 NA 0.036711
"43" "CDH10" 0.336466 0.706878 NA 0.321241 0.082575 0.546403 0.799939 0.631223 0.409751 0.253376 0.859159 0.025567 0.864777 0.049752
"44" "CDH12" 0.01344 0.561142 0.402974 0.154417 0.355114 0.262553 0.183701 0.854366 0.6208 0.025688 0.47769 0.148525 0.80629 0.54267
"45" "CDH18" 0.734968 0.048643 0.463536 0.854545 0.551924 0.363727 0.581582 0.631223 0.021714 0.013663 0.37276 0.570237 NA 0.182349
"46" "CDH9" 0.210175 0.011625 0.250975 0.740657 0.192488 0.434438 NA 0.202589 0.755948 0.02951 0.874456 0.286864 0.864777 0.941692
"47" "CDHR2" 0.281648 0.627462 0.034338 0.004433 0.442706 0.435258 NA NA 0.892641 0.159429 0.220748 0.028584 NA 0.366265
"48" "CDKN2A" 0.728616 0.686336 0.790583 0.641863 0.022487 0.105469 0.365306 0.631223 0.786813 0.006633 0.491781 0.815405 NA 0.638811
"49" "CENPF" 0.853391 0.533215 0.395186 0.61883 0.00614 0.792313 0.992237 0.580826 0.178488 0.354901 0.13763 0.080096 0.809488 0.020137
"50" "CHD7" 0.489501 0.181361 0.792281 0.929175 0.647062 0.001658 0.080824 0.772589 0.510887 0.977629 0.746244 0.473794 0.864777 0.029452
"51" "CIC" 0.850336 0.328268 0.442088 3.3e-05 0.642451 0.175477 0.270527 0.462684 0.379678 0.657291 0.21049 0.4608 NA 0.150119
"52" "CMYA5" 0.059119 0.949751 0.373163 0.774727 0.339663 0.403961 0.174521 0.059054 0.014435 0.38171 0.353258 0.104831 NA 0.029832
"53" "CNTN6" 0.665495 0.878158 0.669448 0.522344 0.920499 0.892281 0.898304 NA 0.673681 0.456189 0.802889 0.03448 NA 0.059605
"54" "CNTNAP2" 0.923398 0.621714 0.619925 0.390242 0.340094 0.305694 0.305892 0.484474 0.222191 0.949017 0.639925 0.026281 NA 0.052532
"55" "COL11A1" 0.820295 0.288501 0.181522 0.415788 0.405695 0.715338 0.749 0.631223 0.015836 0.967182 0.036352 0.760399 0.864777 0.546119
"56" "COL12A1" 0.225061 0.608374 0.705013 0.626169 0.632764 0.468617 0.369839 0.631223 0.612615 0.633628 0.010283 0.016615 0.809488 0.03435
"57" "COL24A1" 0.373499 0.366008 0.382943 0.535813 0.641799 0.087025 0.291038 0.631223 0.550127 0.289599 0.01521 0.017023 0.809682 0.126382
"58" "COL6A6" 0.899111 0.532527 0.052217 0.003586 0.778557 0.036443 0.036374 NA 0.315728 0.037305 0.895917 0.010841 0.839069 0.081784
"59" "CSMD1" 0.299929 0.081105 0.717554 0.258776 0.648513 0.521331 0.525897 NA 0.333422 0.571696 0.679044 0.153356 0.00216 0.005048
"60" "CSMD2" 0.298687 0.379052 0.871748 0.767966 0.401893 0.124377 0.275472 0.467628 0.215026 0.116344 0.338863 0.05566 0.606807 0.028386
"61" "CSMD3" 0.081347 0.272538 0.149547 0.487596 0.18465 0.300803 0.56458 0.963859 0.205768 0.708053 0.88203 0.341041 0.702177 0.015284
"62" "CUBN" 0.958336 0.505654 0.194804 0.776977 0.492321 0.292585 0.694661 0.335186 0.91318 0.33302 0.08054 0.042622 NA 0.064633
"63" "CUL9" 0.322998 0.697341 0.253422 0.342569 0.726771 0.735818 0.592094 0.631223 0.82401 0.035345 0.164528 0.377258 0.864777 0.030145
"64" "DCHS2" 0.849729 0.411539 0.418422 0.587523 0.625365 0.010753 0.724292 0.335186 0.546397 0.459818 0.758247 0.968209 NA 0.01156
"65" "DLGAP4" 0.306619 0.571295 0.34145 0.855573 0.155814 0.819079 NA 0.631223 0.003968 0.691011 0.402313 0.042162 0.864777 0.313889
"66" "DMD" 0.78351 0.692606 0.456893 0.102681 0.283628 0.939747 0.553767 0.151235 0.740072 0.839752 0.063933 0.035421 0.864777 0.148567
"67" "DMXL2" 0.30056 0.129746 NA 0.594292 0.207311 0.871694 0.841836 0.579391 0.301157 0.312674 0.572993 0.427325 0.767788 0.023018
"68" "DNAH10" 0.961507 0.26537 0.742201 0.862066 0.373464 0.107753 0.234934 0.149038 0.863729 0.24702 0.835836 0.178216 0.732876 0.045341
"69" "DNAH11" 0.249699 0.514399 0.656589 0.847279 0.085727 0.082847 0.264423 0.16979 0.256366 0.384948 0.127272 0.065503 NA 0.037741
"70" "DNAH12" 0.614922 0.488996 0.16555 0.011172 NA 0.679688 0.73414 NA 0.734147 0.445451 0.895589 0.730995 NA 0.018489
"71" "DNAH14" 0.418968 0.235045 NA NA NA 0.757383 0.607644 NA NA 0.499307 NA 0 NA 0.028574
"72" "DNAH17" 0.175962 NA 0.204168 0.517808 0.830225 0.127846 0.154056 0.127484 0.157483 0.089548 0.131773 0.564321 0.809488 0.047476
"73" "DNAH2" 0.076486 0.089605 0.204175 0.006509 0.715089 0.009887 0.101627 0.632588 0.068252 0.007239 0.129107 0.9851 0.767554 0.002737
"74" "DNAH3" 0.640456 0.752908 0.032591 0.366358 0.858608 0.845259 0.715856 0.496694 0.494329 0.88982 0.607806 0.077279 0.809488 0.00314
"75" "DNAH5" 0.079251 0.900962 0.374165 0.124963 0.001907 0.812401 0.503715 0.837678 0.464804 0.107029 0.244829 0.043235 0.732609 0.035702
"76" "DNAH6" 0.718493 0.491948 0.671463 0.634739 NA 0.555344 0.637193 0.782113 0.413121 0.952747 NA 2.2e-05 0.864777 0.036375
"77" "DNAH7" 0.657082 0.219759 0.445297 0.695001 0.295541 0.696447 0.422124 0.560719 0.521524 0.025806 0.563698 0.092865 0.864777 0.001686
"78" "DNAH8" 0.758926 0.916287 0.249142 0.332464 0.164854 0.41359 0.428079 0.001976 0.402284 0.603159 0.357841 0.001137 0.702177 0.006399
"79" "DNAH9" 0.078993 0.385306 0.045022 0.572415 0.979819 0.631063 0.418475 0.974227 0.101772 0.883895 0.530127 0.101672 0.568574 0.006307
"80" "DOCK10" 0.743252 0.224523 0.126893 0.601008 0.213342 0.108832 0.565747 NA 0.066531 0.699137 0.469281 0.393233 0.864777 0.028986
"81" "DOCK2" 0.263266 0.813524 0.493537 0.925877 0.923924 0.364972 0.161017 0.631223 0.592507 0.342232 0.71139 0.756779 0.809488 0.049013
"82" "DOPEY1" 0.93451 0.046684 0.174909 0.289118 0.076275 0.741654 0.731715 0.631223 0.000925 0.27279 0.482947 0.516761 NA 0.048659
"83" "DSCAM" 0.607225 0.283843 0.109172 0.288326 0.533525 0.949984 0.301068 0.532803 0.479447 0.156367 0.697669 0.036935 0 0.897642
"84" "DST" 0.537416 0.333277 0.066428 0.76503 0.168813 0.352905 0.400461 0.334673 0.853138 0.273955 0.285481 0.194219 0.767788 0.001127
"85" "DYNC2H1" 0.394578 0.580195 0.647818 0.520881 0.57279 0.162993 0.399843 0.339681 0.793527 0.331482 0.411123 0.710975 1.8e-05 0.01033
"86" "EGFR" 0.371476 0.552788 0.009437 0.001352 6.9e-05 0.000518 0.010041 0.000778 2.8e-05 0.805684 0.548406 0.29864 NA 0.25717
"87" "EPHA3" 0.403072 0.597255 0.039457 0.113788 0.406431 0.87946 0.403963 0.72021 0.007997 0.979696 0.944954 0.076722 NA 0.152513
"88" "ERBB4" 0.163088 0.030409 NA 0.275693 0.248959 0.838196 0.812811 0.631223 0.541059 0.648935 NA 0.028678 0 0.074879
"89" "EYS" 0.518032 0.69642 0.062613 0.275693 NA 0.511786 0.762467 NA 0.526203 0.01576 0.611063 0.080633 NA 0.028935
"90" "F5" 0.928564 0.499441 0.46247 0.161025 0.58492 0.922501 0.437895 0.72827 0.527063 0.167393 0.538921 0.740985 NA 0.020032
"91" "FAM135B" 0.800115 0.295808 8.5e-05 0.093487 0.202118 0.80979 0.372107 0.260032 0.146814 0.359644 0.984359 0.010863 0.809488 0.122492
"92" "FAM75A6" 0.323757 NA 0.054136 0.001609 0.132666 0.890127 0.874064 NA 0.025754 NA NA NA NA 0.269792
"93" "FAT1" 0.698612 0.532854 0.024251 0.837718 0.001515 0.383095 0.416265 0.404545 0.109702 0.006903 0.722445 0.005418 0.864777 0.000652
"94" "FAT2" 0.444689 0.8272 0.611019 0.691775 0.129959 0.303802 0.153124 0.551645 0.645753 0.774135 0.609719 0.056013 0.864777 0.009714
"95" "FAT3" 0.125302 0.001284 0.977989 0.054908 0.227541 0.941359 0.266642 0.135339 0.487911 0.605387 0.76919 0.887108 0.732609 0.630832
"96" "FAT4" 0.678877 0.612992 0.932238 0.822905 0.739699 0.550622 0.766439 0.981687 0.121543 0.758555 0.239575 0.005036 NA 0.003393
"97" "FCGBP" 0.21546 0.415596 0.468881 0.614158 0.006746 0.271574 0.998222 0.340335 0.268284 0.606778 0.210233 0.033807 0.767554 0.028691
"98" "FHOD3" 0.186877 0.861306 0 0.251633 0.025525 0.000203 0 0.533624 0.866401 0.211758 0.723538 0.006619 0.864777 0.103788
"99" "FLG" 0.974139 0.044296 0.927869 0.011916 0.096564 0.29378 0.889444 0.000144 0.78892 0.829307 0.991158 0.001604 0.75981 0.30865
"100" "FNDC1" 0.746465 0.865154 0.220037 0.025733 0.925847 0.30934 0.331283 0.059054 0.8382 0.91186 0.501326 0.254704 NA 0.049208
"101" "FRAS1" 0.859384 0.682176 0.128834 0.524352 0.154654 0.186647 0.899585 0.893076 0.509395 0.003033 0.314521 0.13141 0.864777 0.045672
"102" "FREM2" 0.541248 0.988053 0.593785 0.262795 0.338968 0.862996 0.952339 0.557715 0.160297 0.601726 0.32081 0.720856 NA 0.045373
"103" "FRG1B" 0.043192 NA 0.204918 0.29067 NA 0.000788 0.230449 NA 0.91228 NA NA 0.91994 NA 0.506118
"104" "FRY" 0.270781 0.59655 0.234452 0.162942 0.110643 0.713051 0.587172 0.470291 0.048242 0.063131 0.236662 0.046809 0.732876 0.094504
"105" "GCN1L1" 0.144756 0.217604 0.115885 0.086924 0.241121 0.052274 0.717891 0.631223 0.068671 0.6802 0.904675 0.03753 0.732609 0.10939
"106" "GLI3" 0.856525 0.156874 0.699266 0.581832 0.725754 0.379635 0.76671 0.148938 0.729474 0.546947 0.13689 0.024378 NA 0.130792
"107" "GPR112" 0.989829 0.056046 0.641617 0.084203 0.000603 0.572186 0.87095 0.018412 0.211393 0.0339 0.059938 0.485492 0.767788 0.003714
"108" "GPR158" 0.30782 0.670474 0.694714 0.252736 0.130079 0.216262 0.230449 NA 0.890335 0.240017 0.688341 0.319478 0.864777 0.046174
"109" "GPR98" 0.817376 0.822327 0.008388 0.000388 0.313545 0.53831 0.527317 0.081753 0.10076 0.177393 0.653629 0.385274 0 0.036218
"110" "HEATR7B2" 0.660982 0.022024 0.344793 0.015869 0.724395 0.443573 0.48228 NA 0.556469 0.761156 0.859137 0.16172 0.864777 0.044854
"111" "HECTD1" 0.955693 0.41295 0.481156 0.715783 0.453701 0.26424 0.734739 0.502807 0.036473 0.559288 0.860516 0.028736 NA 0.12975
"112" "HERC1" 0.246408 0.135454 0.285252 0.916346 0.213673 0.005256 0.259348 0.384545 0.159007 0.644748 0.381321 0.608453 0.864777 0.018485
"113" "HERC2" 0.150521 0.238578 0.387041 0.847356 0.693457 0.217405 0.997806 0.404545 0.001934 0.329434 0.447905 0.060381 NA 0.009448
"114" "HIVEP1" 0.201457 0.013699 0.249358 0.356298 0.814421 0.786693 0.961149 0.631223 0.452645 0.615505 0.315059 0.004395 0.864777 0.035131
"115" "HMCN1" 0.683385 0.93076 0.480927 0.293153 0.655572 0.058063 0.016927 0.41781 0.452864 0.380334 0.777809 0.039216 0.675304 0.009237
"116" "HUWE1" 0.687578 0.589067 0.82892 0.109966 0.350388 0.133635 0.5561 0.093692 0.687433 0.233427 0.937797 0.229732 0.809488 0.002256
"117" "HYDIN" 0.460085 0.24796 0.264703 0.544373 0.618347 0.970021 0.315215 NA 0.76297 0.181208 0.085032 0.029302 0 0.007595
"118" "IDH1" 0.594126 0.488996 0.045124 0 0.434727 0.435258 0.32828 0.050314 0.908884 0.407819 NA 0.235681 NA 0.423179
"119" "IGSF10" 0.115737 0.260459 0.38883 0.256883 0.353239 0.77467 0.439918 0.496694 0.290714 0.37208 0.263541 0.045067 0.864777 0.062977
"120" "ITPR1" 0.804231 0.456499 0.086935 0.812385 0.181495 0.179875 0.32828 0.621517 0.225838 0.043329 0.1319 0.32761 0.809488 0.01796
"121" "ITPR2" 0.078714 0.869816 0.5526 0.794241 0.371861 0.682188 0.964969 0.470418 0.729795 0.882972 0.719256 0.02781 0.014307 0.046588
"122" "JARID2" 0.497659 0.180565 0.571206 0.792135 0.229308 0.34778 0.381044 NA 0.698522 0.275929 0.317201 0.025598 0.809682 0.152797
"123" "KCNH7" 0.675874 0.40564 0.393344 0.616356 0.210965 0.504458 0.535619 0.631223 0.606393 0.140811 0.38226 0.021191 0.864777 0.323953
"124" "KCNQ3" 0.498168 0.027012 NA 0.697372 0.746718 0.666419 0.454927 0.675742 0.010128 0.543566 0.426513 0.018609 NA 0.158821
"125" "KEAP1" 0.555803 0.054278 NA NA 0.097665 0.847535 0.122283 NA 0.007446 0.782462 0.736865 0.893311 0.864777 0.758491
"126" "KIAA0947" 0.075458 0.227446 0.267105 0.641718 0.006616 0.193076 0.230449 NA 0.014677 0.672295 0.221269 0.355862 0.809488 0.037191
"127" "KIAA1409" NA 0.042597 0.688934 0.797729 0.704138 0.102094 0.298235 NA 2e-06 0.337438 0.698097 0.026629 NA NA
"128" "KIAA2026" 0.487059 0.057102 0.795179 0.295204 0.349833 0.298846 0.515355 NA 0.563651 0.971889 0.571855 0.152256 NA 0.049265
"129" "KIF20B" 0.734808 0.592172 0.833769 0.460509 0.243554 0.37761 0.610318 0.631223 0.838798 0.108732 0.297764 0.654474 NA 0.035865
"130" "KIF26B" 0.780067 0.310311 0.003425 0.822088 0.931201 0.638002 0.340048 0.496694 0.291671 0.979268 0.624513 0.01002 NA 0.271529
"131" "KRAS" 0.53502 0.1365 0.442369 0.313981 0.10891 0.532658 0.490095 0.631223 0.430661 0.210109 0.000605 0.00741 0.732609 0.079635
"132" "LAMA2" 0.486845 0.28196 0.19615 0.693739 0.564836 0.944019 0.867621 0.099427 0.020101 0.530188 0.404033 0.068046 0.820087 0.175259
"133" "LAMA3" 0.98372 0.803926 0.066277 0.244685 0.587281 0.90227 0.867768 0.515029 0.351803 0.910792 0.794255 0.004735 0.809488 0.191615
"134" "LCT" 0.431319 0.656269 0.837062 0.014608 0.865733 0.000169 0.003985 5e-06 0.062154 0.625752 0.380822 0.04572 0.809488 0.155017
"135" "LOC100287226" NA NA NA NA NA NA NA NA NA NA NA NA NA 0.035994
"136" "LOC643677" NA NA NA NA NA NA NA NA NA NA NA NA NA 0.000246
"137" "LOXHD1" 0.679279 NA NA NA NA 0 0.000769 NA NA NA NA 0.492365 NA 0.035345
"138" "LRFN5" 0.452651 0.754858 0.671842 0.203737 0.804857 0.142378 0.182775 0.461815 0.79795 0.012569 0.355735 0.252644 NA 0.143959
"139" "LRP1B" 0.908405 0.236079 0.127426 0.163707 0.220372 0.684811 0.577168 0.98465 0.00476 0.177095 7.7e-05 0.595938 0.809488 0.003798
"140" "LRP2" 0.288258 0.57041 0.256497 0.287407 0.55498 0.483805 0.809131 0.120097 0.055232 0.976129 0.802887 0.028485 0.864777 0.00101
"141" "LRRK2" 0.663972 0.584161 0.08367 0.049204 0.017159 0.150298 0.898414 NA 0.840905 0.13625 0.172835 0.046744 0.864777 0.019875
"142" "LYST" 0.177249 0.709518 0.23149 0.019125 0.15571 0.132248 0.164577 0.059054 0.591099 0.783774 0.26742 0.001181 0.809488 0.051531
"143" "MACF1" 0.864938 0.398621 0.354206 0.826674 0.667244 0.051387 0.114807 0.606683 0.14032 0.745412 0.975652 0.064491 0.767554 0.003359
"144" "MAP2" 0.793789 3e-04 0.020361 0.001721 0.392036 0.556398 0.802807 NA 0.364475 0.611032 0.580453 0.149031 0.864777 0.051827
"145" "MBD6" 0.336438 0.108273 0.333338 0.890469 0.58861 0.108429 1.1e-05 0.728612 0.086994 0.344405 0.86415 0.018888 0.809488 0.775944
"146" "MED12" 0.881291 0.2509 0.908809 0.309002 0.15138 0.000166 0.022144 0.12072 0.440586 0.28897 0 0.474021 NA 0.022509
"147" "MED13L" 0.280587 0.758701 0.097092 0.001274 0.82038 0.503465 0.302518 6.5e-05 0.332489 0.040825 0.709611 0.249347 0.864777 0.039437
"148" "MGAM" 0.136316 0.891363 0.010491 0.000744 0.059467 0.962296 0.383378 0.202589 0.474314 0.024302 0.228125 0.024398 0.864777 0.03395
"149" "MKI67" 0.497829 0.719975 0.831052 0.713637 0.700777 0.314982 0.352307 0.762114 0.024267 0.016489 0.872704 0.278928 0.864777 0.018117
"150" "MLL" 0.662853 0.14045 0.856787 0.720197 0.26537 0.126747 0.133076 NA 0.621723 0.403575 0.278473 0.011295 0.673212 0.057587
"151" "MLL2" 0.984626 0.621519 0.244633 0.871464 0.009971 0.37443 0.313033 NA 0.511858 0.101581 0.862017 0.000293 0.809488 0.100143
"152" "MLL3" 0.078419 0.256918 0.582865 0.21328 0.642039 0.917956 0.68536 NA 0.202243 0.778147 0.195333 0.001453 0.65129 0.008006
"153" "MLL4" 0.574516 0.317861 0.213815 0.827 0 0.077874 0.209295 NA 0.782477 0.38918 0.496369 0.114863 NA 0.011882
"154" "MT-ND5" 0 NA NA NA NA NA NA NA NA NA NA 0.009138 NA NA
"155" "MTOR" 0.097942 0.912056 0.895906 0.23568 0.014537 0.000186 0.007825 0.464845 0.707898 0.914367 0.001661 0.318758 NA 0.039901
"156" "MUC16" 0.803652 0.963452 0.440313 0.028445 0.070983 0.831979 0.160454 0.10379 0.519932 0.722166 0.394246 0.016573 0.414587 0.00063
"157" "MUC17" 0.713947 0.596165 0.898262 0.06582 0.36538 0.037068 0.686835 0.23554 0.269807 0.329685 0.744588 0.001962 0.606807 0.013522
"158" "MUC4" 0.640538 0.256941 0.209962 0.569152 0.992956 0.152568 0.713114 0.567285 0.447067 0.01581 0.819532 0.822849 NA 0.045572
"159" "MUC5B" 0.373799 0.159872 0.181801 0.744928 0.030073 0.650696 0.704258 0.942771 0.782227 0.627879 0.37534 0.007654 0.650268 0.009964
"160" "MUC6" 0.457064 0.024895 0.182652 0.978807 0.657856 0.03032 0.895624 0.541638 0.584495 0.152797 0.417539 0.122983 0.809488 0.714967
"161" "MYCBP2" 0.136875 0.220647 0.162682 0.829991 0.34503 0.398665 0.211731 0.525396 0.825446 0.03484 0.406704 0.111967 0.767554 0.233188
"162" "MYH1" 0.126181 0.481456 0.539466 0.32105 0.410655 0.504871 0.668389 0.011036 0.000255 0.860085 0.557346 0.241839 0.732876 0.598687
"163" "MYH11" 0.755646 0.480093 0.944806 0.284745 0.058549 0.07816 0.312569 0.278081 0.175236 0.744811 0.597502 0.024939 NA 0.03419
"164" "MYH2" 0.677836 0.099737 0.582654 0.71146 0.250615 0.346674 0.278406 0.278958 0.048467 0.681438 0.72795 0.491426 0.809488 0.037914
"165" "MYH7" 0.986082 0.007524 6.6e-05 0 0.490689 0.633778 0.572651 NA 0.413181 0.431987 0.245383 0.446383 0 0.029623
"166" "MYH8" 0.564265 0.616337 0.145114 0.162766 0.049286 0.413036 NA 0.224815 0.307158 0.023997 0.895492 0.444255 0.809488 0.055522
"167" "MYH9" 0.612174 0.563807 0.566861 0.143321 0.18722 0.397823 0.738582 NA 0.351383 0.038502 0.299588 0.031296 NA 0.116236
"168" "MYO15A" 0.636338 0.568144 0.231979 0.507698 0.011414 0.167176 0.299861 0.951032 0.590649 0.677467 0.114666 0.027086 0.702177 0.045734
"169" "MYO16" 0.747876 0.882293 0.833093 0.736313 0.449605 0.43616 0.120391 0.631223 0.114674 0.872754 0.739913 0.229187 NA 0.036163
"170" "MYO18B" 0.390528 0.70038 0.727683 0.899963 0.153613 0.106238 0.62705 0.631223 0.500748 0.174911 0.626705 0.85519 0 0.028978
"171" "MYOM2" 0.222018 0.989626 0.599443 0.191781 0.943927 0.275526 0.917276 0.757401 0.850266 0.011766 0.498381 0.793352 0.732876 0.047979
"172" "MYST3" NA 0.382572 NA NA 0.377197 0.927351 0.591215 NA 0.530237 0.463299 0.629495 0.020148 NA NA
"173" "NALCN" 0.01652 0.312482 0.510531 0.031518 0.881655 0.958308 0.386949 NA 0.034043 0.210932 0.631272 0.102076 0.767788 0.052477
"174" "NBEA" 0.785677 0.050759 0.323687 0.633495 0.459158 0.750005 0.636054 0.745574 0.27111 0.81436 0.807992 0.163441 NA 0.00827
"175" "NCAM2" 0.496329 0.891162 NA NA 0.405312 0.600183 0.715133 NA 0.718289 0.987781 0.361787 0.224612 0.809488 0.049453
"176" "NEB" 0.15778 0.741462 0.570044 0.398353 0.004074 0.684064 0.671188 0.307818 0.509565 0.387694 0.21227 0.004959 0.809488 0.005682
"177" "NF1" 0.900271 0.315984 0.335918 0.469508 0.247241 0.808122 0.656371 0.000307 0.204921 0.912119 0.898619 0.403032 0.767788 0.028569
